,game_id,genre_id
249,1195570,70
250,1195620,23
251,1195620,9
252,1195710,25
253,1195710,4
254,1195710,3
255,1195710,28
256,1195710,2
257,1195870,25
258,1195870,3
259,1195870,2
260,1195230,25
261,1195230,4
262,1195320,1
263,1195320,4
264,1195320,23
265,1195350,25
266,1195350,4
267,1195350,23
268,1195360,25
269,1195360,23
270,1195410,23
271,1195410,3
272,1195410,2
273,1195430,1
274,1195460,1
275,1194910,25
276,1194910,4
277,1194910,23
278,1194910,70
279,1194940,23
280,1194940,3
281,1195020,1
282,1195020,25
283,1195020,23
284,1195020,3
285,1195090,4
286,1195090,28
287,1195140,1
288,1195140,4
289,1195170,1
290,1195170,4
291,1195170,23
292,1195170,3
293,1195170,28
294,1195170,2
295,1194480,1
296,1194480,25
297,1194480,4
298,1194480,23
299,1194590,3
300,1194590,28
301,1194590,2
302,1194590,70
303,1194600,23
304,1194610,1
305,1194610,25
306,1194630,25
307,1194650,25
308,1194650,23
309,1194650,70
310,1194670,1
311,1194670,4
312,1194670,23
313,1194680,1
314,1194680,4
315,1194680,28
316,1194690,51
317,1194690,53
318,1194690,54
319,1194690,56
320,1194690,57
321,1194690,59
322,1194690,60
323,1194690,70
324,1194700,4
325,1194700,23
326,1194700,28
327,1194720,1
328,1194720,25
329,1194720,23
330,1194720,3
331,1194720,28
332,1194720,70
333,1194790,25
334,1194830,1
335,1194830,23
336,1194830,3
337,1194830,28
338,1194830,70
339,1194840,1
340,1194840,25
341,1194840,4
342,1194840,37
343,1194840,23
344,1194840,28
345,1193990,25
346,1193990,23
347,1194050,1
348,1194050,25
349,1194100,1
350,1194100,4
351,1194100,23
352,1194100,28
353,1194140,23
354,1194140,3
355,1194140,28
356,1194140,2
357,1194160,25
358,1194160,4
359,1194160,23
360,1194170,1
361,1194170,4
362,1194170,23
363,1194220,1
364,1194220,25
365,1194220,4
366,1194220,23
367,1194220,70
368,1194380,1
369,1194380,4
370,1194380,18
371,1194390,25
372,1194390,4
373,1194390,23
374,1193660,25
375,1193660,4
376,1193730,1
377,1193730,25
378,1193730,23
379,1193730,3
380,1193730,28
381,1193730,70
382,1193780,4
383,1193780,23
384,1193790,25
385,1193790,23
386,1193790,2
387,1193830,1
388,1193830,4
389,1193830,23
390,1193930,1
391,1193930,23
392,1193930,18
393,1193950,1
394,1193950,23
395,1193110,1
396,1193110,4
397,1193110,23
398,1193160,1
399,1193160,23
400,1193200,1
401,1193200,25
402,1193200,23
403,1193210,25
404,1193210,23
405,1193300,1
406,1193300,25
407,1193300,23
408,1193300,3
409,1193300,2
410,1193330,4
411,1193330,23
412,1193340,1
413,1193340,25
414,1193340,23
415,1193340,70
416,1193420,4
417,1193420,2
418,1193450,1
419,1193450,4
420,1193450,23
421,1193460,4
422,1193460,23
423,1193460,2
424,1193490,1
425,1193490,25
426,1193490,23
427,1193490,70
428,1193520,1
429,1193520,25
430,1193520,23
431,1193560,4
432,1193560,23
433,1193560,2
434,1193560,70
435,1192580,1
436,1192580,25
437,1192580,23
438,1192580,3
439,1192610,1
440,1192610,25
441,1192610,23
442,1192610,3
443,1192610,28
444,1192640,4
445,1192640,3
446,1192730,1
447,1192730,25
448,1192730,4
449,1192730,23
450,1192730,3
451,1192730,28
452,1192740,23
453,1192840,1
454,1192840,25
455,1192840,4
456,1192840,23
457,1192840,3
458,1192860,25
459,1192860,4
460,1192860,23
461,1192860,3
462,1192880,1
463,1192880,25
464,1192880,4
465,1192880,23
466,1192890,1
467,1192890,23
468,1192910,4
469,1192910,23
470,1192070,4
471,1192070,23
472,1192160,25
473,1192160,23
474,1192160,28
475,1192260,25
476,1192260,4
477,1192270,25
478,1192270,4
479,1192310,4
480,1192310,23
481,1192390,1
482,1192410,1
483,1192410,25
484,1192410,4
485,1192420,28
486,1192500,4
487,1192500,23
488,1191580,25
489,1191580,4
490,1191580,23
491,1191580,3
492,1191580,28
493,1191590,1
494,1191590,4
495,1191590,23
496,1191590,70
497,1191610,23
498,1191790,4
499,1191820,25
500,1191820,4
501,1191820,28
502,1191820,2
503,1191860,23
504,1191900,4
505,1191900,23
506,1191940,25
507,1191940,4
508,1191940,3
509,1192060,1
510,1191190,25
511,1191190,4
512,1191190,23
513,1191190,28
514,1191190,18
515,1191190,2
516,1191210,1
517,1191210,25
518,1191210,4
519,1191210,23
520,1191210,3
521,1191210,2
522,1191280,25
523,1191280,4
524,1191280,23
525,1191280,2
526,1191440,4
527,1191440,23
528,1191440,28
529,1191500,23
530,1191500,3
531,1191500,2
532,1191500,70
533,1191510,1
534,1191510,4
535,1191510,23
536,1190620,1
537,1190620,4
538,1190620,23
539,1190620,2
540,1190640,25
541,1190640,4
542,1190640,23
543,1190640,28
544,1190640,2
545,1190750,54
546,1190750,57
547,1190760,25
548,1190760,4
549,1190760,23
550,1190760,2
551,1190760,70
552,1190780,1
553,1190780,25
554,1190780,23
555,1190780,28
556,1190810,25
557,1190820,1
558,1190820,25
559,1190820,4
560,1190820,23
561,1190910,1
562,1190910,23
563,1190910,3
564,1190910,2
565,1190930,25
566,1190930,23
567,1190980,1
568,1190980,4
569,1190980,23
570,1190980,28
571,1191070,1
572,1191070,25
573,1191070,23
574,1191070,2
575,1191100,4
576,1191100,23
