,id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
114,1194680,ZooKeeper Simulator,0,False,Forceight,8,100,12,112
115,1194690,Creatry — Easy Game Maker & Game Builder App,0,False,Sanya,0,1,6,7
116,1194700,House Flipper VR,0,False,Frozen Way,5,59,43,102
117,1194720,No School No Rules,0,False,Namion Games,0,2,1,3
118,1194790,Kessler Effect,0,False,Impulse Machine,0,4,4,8
119,1194830,Master Bladesmith,0,False,Elixir Games,8,186,18,204
120,1194840,Frog Fractions: Game of the Decade Edition,0,True,"Twinbeard, Inc.",8,65,0,65
121,1193990,Trapped,0,False,N4bA,7,11,2,13
122,1194050,Orange Cast: Sci-Fi Space Action Game,0,False,Team Rez,6,36,14,50
123,1194100,Musical Aim Trainer,0,False,Atom studio,0,0,1,1
124,1194140,Blind Justice,0,False,Nicholas Rizzo,5,20,15,35
125,1194160,One-Eyed Lee and the Dinner Party,0,False,DarkChibiShadow,0,5,0,5
126,1194170,Foe Frenzy,0,False,Ellpeck,0,1,0,1
127,1194220,Zombie Tag Royale,0,False,TagYourItGaming,0,2,0,2
128,1194380,Volleyball Fever Flat,0,False,Neuston AB,0,1,0,1
129,1194390,The Land of Crows,0,True,Gemlore,0,4,0,4
130,1193660,Jack-O-Lantern Covers of Darkness,0,False,"Strawberry Game Studios, LLC",0,3,0,3
131,1193730,Piece Of Mind,0,False,Rig Studio,0,0,2,2
132,1193780,Tower Climb,0,False,11Sheep,0,2,0,2
133,1193790,UNHERD,0,False,Happimal,0,4,1,5
134,1193830,Jeremiah,0,False,Tom Wagner - Dubya Studios,0,1,0,1
135,1193930,Ping Pong Space - Retro Tennis,0,False,Best Friend Games,0,2,0,2
136,1193950,Dashbot Ninja,0,False,Trio Queue,0,1,0,1
137,1193110,Love love demon ji-恋恋妖姬,0,False,FlyBoyStudio,0,2,1,3
138,1193160,Bomber Fox,0,False,Laughing Fox Games,0,0,1,1
139,1193200,K37-D,0,False,ShadowBlade Games,0,3,0,3
140,1193210,Hunt the Muglump,0,False,Play Old School Games,0,3,0,3
141,1193300,Axe Cop,0,False,Red Triangle Games,0,7,0,7
142,1193330,Together - A Wish No One Remembers,0,False,Hangover Cat Purrroduction,0,5,0,5
143,1193340,Zelter,0,False,G1 Playground,6,240,65,305
144,1193420,The Dis-United States Of America,0,False,Spaghetti Code Ltd,0,1,0,1
145,1193450,Stripper Anya: Christmas Special,0,False,"X-MiGuPLAY, LLC",0,0,1,1
146,1193460,Bunny Sudoku,0,False,DillyFrame,0,3,1,4
147,1193490,A Crooked Heart,0,False,Little Blackbird Studio,0,2,0,2
148,1193520,Space Climber,0,False,Ferulox Studios,0,1,1,2
149,1193560,Roast Party,0,False,Fraccas,0,6,0,6
150,1192580,Nyanco Dream,0,False,Nyanco Channel,6,10,3,13
151,1192610,ANIME REDEMPTION,0,False,Konnichiwa Games,8,132,30,162
152,1192640,Hentai Mosaique Neko Waifus,0,False,Lil Hentai Games,8,394,21,415
153,1192730,ADULT SHERIFF,0,False,Konnichiwa Games,5,44,23,67
154,1192740,Woman's body: For adults 2,0,False,Softened Cookie,0,3,1,4
155,1192840,The Shenanigans of Cherry and Trix,0,False,Critoniuum,0,1,0,1
156,1192860,Winter Snow | 冬雪,0,False,木子工坊,0,1,0,1
157,1192880,Nostalgiarian,0,False,Cloaz Studio,0,0,1,1
158,1192890,Shoot Them,0,False,Cтрельба,5,16,7,23
159,1192910,食用系少女：美食內戰 Food Girls：Civil War,0,False,SimonCreative,0,2,0,2
160,1192070,TriangleStorm,0,False,Benjamin Berglund,0,1,0,1
161,1192160,Section Six,0,False,Lepus Games,0,1,0,1
162,1192260,Labyrinths of the World: The Wild Side Collector's Edition,0,False,Domini Games,0,3,0,3
163,1192270,Royal Detective: The Last Charm Collector's Edition,0,False,Elephant Games,0,1,0,1
164,1192310,KAWAII GIRLS PUZZLE,0,False,Elementarium games,7,8,2,10
