,game-id,platforms
413,1184550,1
414,1184570,1
415,1184700,1
416,1184720,1
417,1184770,1
418,1184780,1
419,1184820,1
420,1184820,2
421,1184840,1
422,1184880,1
423,1184890,1
424,1184900,1
425,1184900,2
426,1184900,3
427,1184040,1
428,1184050,1
429,1184070,1
430,1184090,1
431,1184160,1
432,1184160,2
433,1184160,3
434,1184190,1
435,1184230,1
436,1184260,1
437,1184310,1
438,1184310,2
439,1184400,1
440,1184400,2
441,1184420,1
442,1184420,2
443,1183470,1
444,1183480,1
445,1183500,1
446,1183510,1
447,1183580,1
448,1183670,1
449,1183720,1
450,1183840,1
451,1183840,3
452,1183030,1
453,1183080,1
454,1183140,1
455,1183140,3
456,1183170,1
457,1183170,2
458,1183170,3
459,1183200,1
460,1183200,2
461,1183210,1
462,1183230,1
463,1183230,2
464,1183230,3
465,1183240,1
466,1183260,1
467,1183280,1
468,1183280,2
469,1183280,3
470,1183300,1
471,1183300,2
472,1183300,3
473,1183410,1
474,1183420,1
475,1182670,1
476,1182690,1
477,1182720,1
478,1182760,1
479,1182770,1
480,1182830,1
481,1182830,2
482,1182830,3
483,1182890,1
484,1182920,1
485,1182920,2
486,1182970,1
487,1182280,1
488,1182470,1
489,1182470,2
490,1181790,1
491,1181790,2
492,1181820,1
493,1181840,1
494,1181840,2
495,1181840,3
496,1181880,1
497,1181910,1
498,1182020,1
499,1182020,2
500,1182090,1
501,1182090,2
502,1182110,1
503,1182200,1
504,1181330,1
505,1181400,1
506,1181400,2
507,1181440,1
508,1181470,1
509,1181470,3
510,1181510,1
511,1181520,1
512,1181570,1
513,1181570,2
514,1181600,1
515,1181600,2
516,1181600,3
517,1181750,1
518,1180820,1
519,1180900,1
520,1180900,2
521,1180940,1
522,1180960,1
523,1180970,1
524,1181000,1
525,1181020,1
526,1181030,1
527,1181030,2
528,1181030,3
529,1181070,1
530,1181120,1
531,1181130,1
532,1181220,1
533,1181270,1
534,1181280,1
535,1181290,1
536,1181290,3
537,1180370,1
538,1180420,1
539,1180450,1
540,1180450,3
541,1180540,1
542,1180540,2
543,1180550,1
544,1180560,1
545,1180610,1
546,1180620,1
547,1180650,1
548,1180690,1
549,1180690,2
550,1180700,1
551,1179880,1
552,1180000,1
553,1180070,1
554,1180110,1
555,1180190,1
556,1180250,1
557,1180250,2
558,1180270,1
559,1180330,1
560,1179540,1
561,1179560,1
562,1179570,1
563,1179620,1
564,1179620,2
565,1179790,1
566,1179840,1
567,1179170,1
568,1179190,1
569,1179210,1
570,1179300,1
571,1179300,2
572,1179340,1
573,1179390,1
574,1179410,1
575,1179410,2
576,1179420,1
577,1179460,1
578,1179500,1
579,1178880,1
580,1179060,1
581,1178380,1
582,1178400,1
583,1178430,1
584,1178460,1
585,1178480,1
586,1178500,1
587,1178510,1
588,1178570,1
589,1178680,1
590,1178690,1
591,1178710,1
592,1178780,1
593,1178790,1
594,1177890,1
595,1177950,1
596,1177990,1
597,1177990,2
598,1178000,1
599,1178020,1
600,1178060,1
601,1178120,1
602,1178140,1
603,1178150,1
604,1178180,1
605,1178200,1
606,1178210,1
607,1178220,1
608,1178280,1
609,1178290,1
610,1178290,2
611,1178290,3
612,1178310,1
613,1178330,1
614,1177660,1
615,1177690,1
616,1177720,1
617,1177810,1
618,1177850,1
619,1177350,1
620,1177400,1
621,1177420,1
622,1177420,2
623,1177460,1
624,1177510,1
625,1177610,1
626,1176970,1
627,1176990,1
628,1177000,1
629,1177020,1
630,1177030,1
631,1177080,1
632,1177110,1
633,1177130,1
634,1177130,2
635,1177130,3
636,1177170,1
637,1176850,1
638,1176890,1
639,1176440,1
640,1176460,1
641,1176480,1
642,1176580,1
643,1176590,1
644,1176360,1
645,1175900,1
646,1175930,1
647,1175950,1
648,1175980,1
649,1175980,2
650,1176040,1
651,1176050,1
652,1176160,1
653,1176170,1
