id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
1147130,Countryballs: Modern Ballfare,0,False,Mildly Professional,7,34,0,34
1147140,Funny Road Chase Simulator,0,False,Polantronic,0,0,1,1
1147220,Grim Tales: Guest From The Future Collector's Edition,0,False,Elephant Games,0,2,0,2
1147240,Rogue Waves,0,False,Diego Rodrigues,0,2,1,3
1146390,Where Are We Now,0,False,The Prime Movers,0,1,0,1
1146510,Deep Sleep Trilogy,0,False,scriptwelder,8,102,1,103
1146560,Drawn Down Abyss,0,False,DaFluffyPotato,0,4,0,4
1146630,Yokai's Secret,0,False,Double W,8,437,30,467
1146700,Battle Sorcerers,0,False,G1 Playground,0,2,3,5
1146780,Monster planet,0,False,Jinx,0,1,0,1
1146810,Phantom Astronaut Lucid VR,0,False,Phantom Astronaut,0,1,1,2
1145960,The White Door,0,False,Rusty Lake,8,758,90,848
1145970,Forest Home,0,False,The Binary Mill,0,8,0,8
1146010,Art of Boxing,0,False,Gold From Straw Games,5,17,20,37
1146090,Flint,0,False,Splendortek,0,3,1,4
1146100,The Rising of the Shield Hero : Relive The Animation,0,False,KADOKAWA CORPORATION,6,55,19,74
1146160,The Tomb of Argazfell,0,False,Torvelt,0,1,0,1
1146170,KingSim,0,False,Fuzzy Pixel Game Studio,8,41,9,50
1146230,DungeonTop,0,False,One Up Plus Entertainment,8,126,14,140
1146250,Seasons Girls,0,False,Decra,0,1,1,2
1146300,Land of War - The Beginning,0,False,MS GAMES,5,39,41,80
1146310,Beyond a Steel Sky,0,False,Revolution Software Ltd,8,378,60,438
1146350,Urban riots,0,False,kiki,0,0,1,1
1146370,Master of Magic Classic,0,False,SimTex,8,280,7,287
1145490,Operation Armstrong,0,False,Fullbeans Studio,0,6,0,6
1145520,Wall Force,0,True,Miha Prezelj,0,2,0,2
1145530,One day,0,False,Zhongce Games,0,3,0,3
1145550,守护传说 Guardian Legend,0,False,SL,0,0,1,1
1145560,Marble Trap,0,False,NanningsGames,7,16,2,18
1145570,Ortharion project,0,False,Ortharion project,6,36,14,50
1145580,Wolves Team,0,False,SFVR,0,0,1,1
1145590,Kastle Krush,0,False,Neiroanalitika,0,0,2,2
1145660,Drift Of The Hill,0,False,RewindApp,6,232,72,304
1145680,Pew-Pew Rocket,0,False,StarSystemStudios,0,2,0,2
1145780,Angry Golf,0,False,Tero Lunkka,6,7,3,10
1145810,Desert lost,0,False,JoJo,0,6,2,8
1145820,INFECTIS,0,False,Aegon Games Ltd,0,3,2,5
1145830,Clarevoyance,0,False,Fring Frang Games,0,2,0,2
1145860,Quantum Multiverse,0,False,RipTyde Games,0,0,1,1
1145950,Vector Prospector,0,False,SpinAttack Studio,0,8,1,9
1145030,ef - the latter tale. (All Ages),0,False,minori,0,7,1,8
1145050,Tonetaker VR,0,False,Daniel Rychlý,0,1,0,1
1145120,Last Summer,0,False,murase,0,1,0,1
1145180,uznali ? soglasnbI ?,0,False,lastgame,0,1,1,2
1145200,Tomb Typing,0,False,Individual Software,0,1,0,1
1145210,Typing with Sharks,0,False,Individual Software,0,0,1,1
1145280,Blockey: Block Yeah!,0,False,Walking Talking Grilling Bear,0,1,0,1
1145380,Kakatte Koi Yo!,0,False,BackSlash Games,7,11,1,12
1145410,Knight Swap,0,False,Minimol Games,7,40,3,43
1145430,Agross,0,False,cBlck,0,1,1,2
1145450,Mystery Case Files: Moths to a Flame Collector's Edition,0,False,Eipix Entertainment,0,7,1,8
1145460,Memories on the Shoreline,0,False,Crystal Game Works,0,3,3,6
1144690,Project SolarBot,0,False,Inferno,0,2,0,2
1144770,SLUDGE LIFE,0,False,Terri Vellmann,8,128,9,137
1144860,Flying Sword,0,False,Meng Games,7,13,2,15
1144910,Space Gladiators,0,False,Thomas Gervraud,8,77,1,78
1144970,Necronator: Dead Wrong,0,False,Toge Productions,6,112,40,152
1144250,WAIFU HELL,0,False,Konnichiwa Games,8,234,55,289
1144270,救赎抉择Resurrection,0,False,Just For Fun,0,2,0,2
1144280,Ain Dodo,0,False,oukaein,7,48,0,48
1144290,Lucid Nina,0,False,slimelvl2,0,2,0,2
1144300,ef - the first tale. (All Ages),0,False,minori,0,7,1,8
1144330,Marisa's Marvelous Magic Shop,0,False,Masakami Nature Reserve,7,9,2,11
1144350,Hunger Tower,0,False,FunmenGames,0,1,1,2
1144370,Levi Chronicles,0,False,Atmosphere Studio,0,4,0,4
1144400,Senren＊Banka,0,False,Yuzusoft,8,329,9,338
1144440,UnderParty,0,False,SekaiFrieden,8,61,8,69
1144450,Rose Riddle: Fairy Tale Detective,0,False,Yustas Game Studio,0,1,0,1
1144460,SOUNDART,0,False,MercuryStudio,7,13,2,15
1144510,Stratos,0,False,New State,6,9,3,12
1144520,Air,0,False,Calepin Studio,0,0,2,2
1144550,Bride for the Princess,18,False,Tuomo Laine,0,2,2,4
1144590,Blooding Runner X,0,False,Creative Black Chair,0,4,0,4
1144630,Beardy the Digger,0,False,White Ink,0,2,0,2
1143900,Shapeshooter,0,False,NukGames,0,2,2,4
1144020,GolfTopia,0,False,MinMax Games Ltd.,8,244,8,252
1144030,Pesterquest,0,False,"What Pumpkin Games, Inc.",8,767,57,824
1144060,Ten Days to War,0,False,ZeroByter Games,0,0,1,1
1144070,NUMB,0,False,Sakarikos Kleanthis,0,2,5,7
1144090,ArtFormer: Ancient Stories,0,False,Jan Šídlo,0,0,1,1
1144100,Linea VR,0,False,KHB-Soft,0,7,1,8
1144110,Open World Game: the Open World Game,0,True,Morning Person Games,0,4,0,4
1144140,Pillars of Dust,0,False,Retreaux Games,7,12,1,13
1144150,Singled Out,0,False,Matt Glanville,7,20,0,20
1143550,EleMetals: Death Metal Death Match!,0,False,WALLRIDE,0,1,0,1
1143570,VolticPistol,0,False,Sunset Arctic Games,0,5,0,5
1143680,AVA,0,False,Dnovel,0,8,1,9
1143710,Тёмное отражение (Dark Reflection),0,False,Slay Buherman,0,5,1,6
1143720,ALTERITY EXPERIENCE,0,False,ONITRON STUDIO,0,4,1,5
1143740,PUZZLETIME: Castle Party,0,False,Juicy Jelly Cloud,0,4,0,4
1143750,VRocker,0,False,digitalsoulVR,7,26,2,28
1143770,StressOut,0,False,VRmadillo,0,3,1,4
1143780,Graveyard Defender,0,False,Pixel Cattus,0,3,0,3
1143800,Jigsaw Puzzle - Pro Edition,0,False,Boogygames Studios,0,6,1,7
1143170,Auto Factory,0,False,Architect Studios,0,4,0,4
1143320,Gred,0,False,Kevin Bergeal,0,1,0,1
1143330,Frustrate-a-ball,0,False,Addictive 247 Games,0,1,0,1
1143390,Ichor,0,False,Luke Palmer,0,3,0,3
1143420,70 Seconds! Adventure,0,False,Enoops,0,1,0,1
1143430,Shadow Gangs,0,False,JKM corp,0,7,1,8
1143440,Connor's Desert Adventure,0,False,HaDe Games,0,5,1,6
1142410,Kamile: The Fall,0,False,Bartosh Polonski,6,11,4,15
1142480,Anthophobia,0,False,Terrarium,7,34,1,35
1142500,Fun with Ragdolls: The Game,0,False,Jadon Barnes,8,1869,174,2043
1142550,Protein for Muscle,0,False,Qmax Inc.,7,12,1,13
1142750,BAFF 3,0,False,Blender Games,0,1,0,1
1142830,9-nine-:Episode 3,0,False,PALETTE,8,61,0,61
1142850,Darkness Rollercoaster - Ultimate Shooter Edition,0,False,CREATIVE VR3D,0,3,3,6
1142870,Hentai Fight Club,0,False,Ero Team Triangle,0,0,5,5
1141930,Mondly: Learn Languages in VR,0,False,ATi Studios A.P.P.S. SRL,5,15,8,23
